zip3,primary_state,primary_city,centroid_lat,centroid_lng,zip5_count,population,households,median_hh_income,demand_index
005,NY,Holtsville,40.92233,-72.63708,2,,,,
006,PR,Aguadilla,18.29387,-66.873,51,1081492,390484,20819,23.6
007,PR,Ponce,18.14978,-66.11842,56,1192025,433585,23467,26.4
008,VI,St Thomas,17.99223,-64.80702,16,,,,
009,PR,San Juan,18.40169,-66.07966,70,998865,395589,31488,23.4
010,MA,Chicopee,42.27008,-72.59006,70,463387,186460,79872,18.8
011,MA,Springfield,42.13152,-72.57372,24,171167,64286,57298,9.1
012,MA,Pittsfield,42.33522,-73.22504,37,128068,55791,72306,10.4
013,MA,Greenfield,42.5884,-72.60613,32,83290,35879,69867,9.0
014,MA,Groton,42.49639,-71.71337,26,223045,86906,95941,15.9
015,MA,Westborough,42.25151,-71.89784,54,398469,152962,111294,22.0
016,MA,Worcester,42.29691,-71.85198,18,211697,81427,65073,11.1
017,MA,Framingham,42.4052,-71.47533,31,409901,156560,137851,26.2
018,MA,Woburn,42.55164,-71.27041,49,774491,286137,111555,30.3
019,MA,Lynn,42.61524,-70.89571,38,508867,201639,105717,23.6
020,MA,Dedham,42.11623,-71.02517,39,425765,159838,140727,26.9
021,MA,Boston,42.33584,-71.05972,70,1402965,573775,97908,42.0
022,MA,Boston,42.3499,-71.02256,27,30228,12059,85941,10.2
023,MA,Brockton,42.00405,-70.85144,45,474202,174117,103079,22.5
024,MA,Waltham,42.36755,-71.24946,36,435867,168070,161130,30.2
025,MA,Buzzards Bay,41.59507,-70.51744,30,127661,51302,98870,14.3
026,MA,Centerville,41.78675,-70.13279,41,159706,70553,90524,13.7
027,MA,New Bedford,41.75335,-71.07243,44,555045,223214,82984,21.3
028,RI,Warwick,41.66239,-71.53261,70,696811,279710,90260,25.4
029,RI,Providence,41.82251,-71.43375,21,397467,152529,71807,16.2
030,NH,Nashua,42.90753,-71.49354,38,402330,153859,111787,22.2
031,NH,Manchester,42.96522,-71.52662,11,157455,62522,87725,13.3
032,NH,Tilton,43.53333,-71.64166,65,196408,77933,85942,13.9
033,NH,Concord,43.24721,-71.56455,6,63977,25307,88172,11.3
034,NH,Keene,42.90834,-72.18816,28,84357,33753,80749,10.7
035,NH,Littleton,44.5455,-71.47701,20,44646,19309,58818,6.6
036,NH,Acworth,43.16675,-72.3015,8,12965,4888,64876,6.8
037,NH,Lebanon,43.6944,-72.12117,29,78969,29354,92026,12.2
038,NH,Portsmouth,43.36125,-71.07538,76,338571,138226,97608,18.7
039,ME,Berwick,43.22894,-70.7073,11,52456,22136,93296,11.8
040,ME,Freeport,43.83894,-70.53875,80,364615,150344,84140,17.3
041,ME,Portland,43.93593,-70.34666,15,118863,53511,89495,12.7
042,ME,Auburn,44.32926,-70.37461,62,180579,73454,65443,10.5
043,ME,Augusta,44.31273,-69.75781,26,84067,36379,66860,8.6
044,ME,Bangor,45.15766,-68.75502,70,175837,73657,61729,9.9
045,ME,Bath,43.94223,-69.56904,34,49563,22543,73909,8.9
046,ME,Ellsworth,44.68126,-68.04072,67,73946,32802,60552,7.5
